"X","mpg","cyl","hp","wt","am"
"Merc 240D",24.4,4,62,3.19,0
"Merc 230",22.8,4,95,3.15,0
"Toyota Corona",21.5,4,97,2.465,0
"Hornet 4 Drive",21.4,6,110,3.215,0
"Merc 280",19.2,6,123,3.44,0
"Pontiac Firebird",19.2,8,175,3.845,0
"Hornet Sportabout",18.7,8,175,3.44,0
"Valiant",18.1,6,105,3.46,0
"Merc 280C",17.8,6,123,3.44,0
"Merc 450SL",17.3,8,180,3.73,0
"Merc 450SE",16.4,8,180,4.07,0
"Dodge Challenger",15.5,8,150,3.52,0
"Merc 450SLC",15.2,8,180,3.78,0
"AMC Javelin",15.2,8,150,3.435,0
"Chrysler Imperial",14.7,8,230,5.345,0
"Duster 360",14.3,8,245,3.57,0
"Camaro Z28",13.3,8,245,3.84,0
"Cadillac Fleetwood",10.4,8,205,5.25,0
"Lincoln Continental",10.4,8,215,5.424,0
